,uid,sentiment
0,20803,neutral
1,20187,positive
2,20953,neutral
3,13777,negative
4,20990,positive
5,15075,neutral
6,32292,positive
7,4622,positive
8,22338,neutral
9,23996,positive
10,10426,neutral
11,3038,negative
12,37328,negative
13,11313,neutral
14,32158,positive
15,2598,neutral
16,12837,neutral
17,26050,negative
18,30898,neutral
19,22656,neutral
20,2755,neutral
21,16061,neutral
22,3364,neutral
23,2926,positive
24,29391,positive
25,36692,positive
26,24682,positive
27,21692,neutral
28,16349,negative
29,22282,neutral
30,9078,neutral
31,10672,neutral
32,44031,negative
33,36522,positive
34,16135,negative
35,18612,negative
36,5794,positive
37,17667,neutral
38,16583,negative
39,25678,negative
40,10844,neutral
41,3791,negative
42,21624,negative
43,43144,neutral
44,42867,negative
45,40769,positive
46,17946,positive
47,843,neutral
48,23329,positive
49,43516,negative
50,13712,positive
51,4424,positive
52,11422,neutral
53,17588,neutral
54,8745,neutral
55,37006,positive
56,29291,neutral
57,5905,negative
58,27921,neutral
59,8762,neutral
60,42612,negative
61,34997,neutral
62,10988,negative
63,14844,negative
64,3014,negative
65,20448,neutral
66,23905,neutral
67,37296,neutral
68,42856,neutral
69,29080,neutral
70,10822,positive
71,27237,positive
72,31449,positive
73,10734,neutral
74,5739,neutral
75,41105,negative
76,13394,positive
77,30013,neutral
78,11032,neutral
79,19785,positive
80,21293,positive
81,21155,positive
82,6056,negative
83,20984,neutral
84,25856,positive
85,8240,neutral
86,21721,positive
87,27783,positive
88,19625,positive
89,35006,positive
90,17660,negative
91,23605,neutral
92,17224,neutral
93,23874,neutral
94,11284,neutral
95,22701,neutral
96,25926,positive
97,11652,positive
98,9458,neutral
99,11081,positive
100,7285,positive
101,2764,negative
102,40419,negative
103,44227,neutral
104,21965,neutral
105,25875,negative
106,21921,neutral
107,18535,negative
108,5278,neutral
109,10444,neutral
110,43225,positive
111,28263,neutral
112,37439,positive
113,1500,neutral
114,27390,negative
115,5166,positive
116,17,neutral
117,17475,negative
118,24131,neutral
119,14972,neutral
120,42421,neutral
121,26724,neutral
122,37891,negative
123,11377,neutral
124,20601,neutral
125,7232,neutral
126,30579,neutral
127,9185,neutral
128,1918,negative
129,4134,positive
130,15585,positive
131,30146,negative
132,20936,neutral
133,20757,neutral
134,4304,negative
135,24009,negative
136,10865,negative
137,11302,neutral
138,12308,negative
139,13925,positive
140,21861,positive
141,23801,neutral
142,12919,positive
143,32382,neutral
144,9363,positive
